第一申请人城市_原值,第一申请人城市标准化,省级地区,城市映射状态,专利数
乌海,乌海,内蒙古,城市映射成功,1
玉溪市,玉溪,云南,城市映射成功,1
甘南,甘南,甘肃,城市映射成功,1
琼海,琼海,海南,城市映射成功,1
达州,达州,四川,城市映射成功,1
达州市,达州,四川,城市映射成功,1
巴音郭楞蒙古自治州,巴音郭楞蒙古自治州,新疆,城市映射成功,1
巴音,巴音,新疆,城市映射成功,1
巴中市,巴中,四川,城市映射成功,1
迪庆,迪庆,云南,城市映射成功,1
许昌,许昌,河南,城市映射成功,1
贵港,贵港,广西,城市映射成功,1
贵港市,贵港,广西,城市映射成功,1
莆田市,莆田,福建,城市映射成功,1
忻州市,忻州,山西,城市映射成功,1
忻州,忻州,山西,城市映射成功,1
怒江傈僳族自治州,怒江傈僳族自治州,云南,城市映射成功,1
张掖,张掖,甘肃,城市映射成功,1
广安,广安,四川,城市映射成功,1
平凉市,平凉,甘肃,城市映射成功,1
张家口市,张家口,河北,城市映射成功,1
营口市,营口,辽宁,城市映射成功,1
资阳市,资阳,四川,城市映射成功,1
辽阳市,辽阳,辽宁,城市映射成功,1
定西市,定西,甘肃,城市映射成功,1
屯昌,屯昌,海南,城市映射成功,1
阿坝藏族羌族自治州,阿坝藏族羌族自治州,四川,城市映射成功,1
定安,定安,海南,城市映射成功,1
安顺,安顺,贵州,城市映射成功,1
安康,安康,陕西,城市映射成功,1
双鸭山,双鸭山,黑龙江,城市映射成功,1
鹰潭,鹰潭,江西,城市映射成功,1
陇南市,陇南,甘肃,城市映射成功,1
鞍山,鞍山,辽宁,城市映射成功,1
陇南,陇南,甘肃,城市映射成功,1
黑河,黑河,黑龙江,城市映射成功,1
双鸭山市,双鸭山,黑龙江,城市映射成功,1
台南市,台南,台湾,城市映射成功,1
黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,城市映射成功,1
,,爱尔兰,境外申请人,1
黔西南,黔西南,贵州,城市映射成功,1
,,波兰,境外申请人,1
,,新西兰,境外申请人,1
,,开曼群岛,境外申请人,1
,,冰岛,境外申请人,1
,,俄罗斯,境外申请人,1
