第一申请人,申请人省市代码,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,main_chain_position,main_quantum_category,firm_relevance
北京易华录信息技术股份有限公司,北京; 11,2019,2019,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京星际荣耀空间科技有限公司,北京; 11,2019,2019,1,5,5.0,量子计算,量子计算系统,量子电路,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
北京智芯微电子科技有限公司,北京; 11,2019,2023,2,10,5.0,量子传感；量子通信与安全,量子传感器/精密测量；量子通信与安全,NV色心；量子密钥；量子密钥分配,0,2,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京未磁科技有限公司,北京; 11,2020,2020,1,5,5.0,量子传感,量子传感器/精密测量,量子精密测量,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
北京机电工程研究所,北京; 11,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京正道量子科技有限公司,北京; 11,2021,2023,5,33,6.6,量子计算；量子通信与安全,量子计算系统；量子通信与安全,laser；单光子探测器；激光器；量子安全通信；量子密钥；量子密钥分发；量子态；量子计算,1,4,0,0,量子通信与安全,量子通信与安全,核心量子企业
北京海泰方圆科技股份有限公司,北京; 11,2022,2023,2,10,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,2,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京燕山电子设备厂,北京; 11,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京爱克瑞特金刚石工具有限公司,北京; 11,2022,2022,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
北京玻色量子科技有限公司,北京; 11,2021,2023,6,35,5.833333333333333,量子计算；量子计算硬件；量子通信与安全,量子计算硬件/量子芯片；量子计算系统；量子通信与安全,laser；qubits；光量子计算；激光器；量子中继；量子比特；量子计算；量子计算机,1,5,0,0,量子计算系统,量子计算,核心量子企业
北京理工大学,北京; 11,2019,2022,8,58,7.25,量子传感；量子基础概念；量子计算硬件；量子通信与安全,上游材料与核心部件；其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子通信与安全,entanglement；laser；superposition；叠加态；抗量子攻击；激光器；离子阱；量子信息；量子信息技术；量子叠加；量子技术；量子测量；量子相干；量子精密测量；量子计算；量子计算机,3,4,1,0,其他量子相关/待复核,量子传感,核心量子企业
北京电子科技学院,北京; 11,2021,2023,3,25,8.333333333333334,量子计算；量子通信与安全,量子计算系统；量子通信与安全,qubit；量子密钥；量子比特；量子通信,2,1,0,0,量子通信与安全,量子通信与安全,核心量子企业
北京百度网讯科技有限公司,北京; 11,2019,2023,156,2250,14.423076923076923,量子传感；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟；量子通信与安全,entanglement；fidelity；laser；qubit；qubits；superposition；保真度；叠加态；物理量子比特；离子阱；超导量子比特；超导量子芯片；逻辑量子比特；量子仿真；量子信息；量子化学；量子处理器；量子密钥；量子密钥分发；量子态；量子技术；量子模拟；量子比特；量子测量；量子电路；量子算法；量子纠缠；量子线路；量子网络；量子芯片；量子计算；量子计算机；量子通信；量子门；量子门保真度；门保真度,141,15,0,0,量子计算系统,量子计算,核心量子企业
