第一申请人,第一申请人地区,第一申请人城市,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types
国际商业机器公司,美国,,2025,39,297,7.615384615384615,量子传感；量子计算,量子计算系统；量子软件/算法/模拟,保真度；稀释制冷机；量子信息；量子处理器；量子态；量子比特；量子电路；量子算法；量子纠错；量子计算；量子计算机；量子误差校正；量子门,17,21,1,0,企业
埃因霍温科技大学,荷兰,,2024,1,6,6.0,量子传感,量子传感器/精密测量,激光器；磁光阱,0,1,0,0,学校
埃森哲环球解决方案有限公司,爱尔兰,,2024,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业
塞莫费雪科学(不来梅)有限公司,德国,,2024,4,20,5.0,量子计算硬件,量子计算硬件/量子芯片,俘获离子；离子阱,0,4,0,0,企业
复旦大学,中国,上海,2024,1,6,6.0,量子计算,量子计算系统,量子优化；量子比特,0,1,0,0,学校
复旦大学,中国,上海,2025,11,82,7.454545454545454,量子传感；量子计算；量子计算硬件；量子通信与安全,上游材料与核心部件；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,NV色心；保真度；光调制器；后量子密码；声光晶体；激光器；离子阱；超导量子比特；逻辑量子比特；量子传感；量子信息；量子比特；量子电路；量子相干；量子线路；量子计算；量子计算机；量子通信；量子门；金刚石NV色心；门保真度,3,8,0,0,学校
复旦大学,中国,上海市,2021,2,11,5.5,量子传感；量子计算硬件,量子传感器/精密测量；量子计算硬件/量子芯片,光调制器；原子干涉；离子阱,0,2,0,0,学校
复旦大学,中国,上海市,2022,2,8,4.0,量子传感,其他量子相关/待复核；量子计量/时间频率/PNT候选,量子信息；频率标准,0,1,0,1,学校
复旦大学,中国,上海市,2023,3,23,7.666666666666667,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,NV色心；量子传感；频率标准,2,0,0,1,学校
大众汽车股份公司,德国,,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
