period,keyword,tfidf_score,frequency,document_count,document_share,period_order,document_share_change,tfidf_score_change,document_share_growth_rate
2026-01_02,green hydrogen costs,0.106765,19.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,green hydrogen costs,0.0,0.0,0.0,0.0,1,-0.095238,-0.106765,-0.9999895000997491
2026-05_06,green hydrogen costs,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,green hydrogen electrolysis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,green hydrogen electrolysis,0.026285,1.0,1.0,0.047619,1,0.047619,0.026285,47619.00000000001
2026-05_06,green hydrogen electrolysis,0.0,0.0,0.0,0.0,2,-0.047619,-0.026285,-0.9999790004199915
2026-01_02,green hydrogen production,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,green hydrogen production,0.234848,53.0,6.0,0.285714,1,0.285714,0.234848,285714.0
2026-05_06,green hydrogen production,0.284169,94.0,9.0,0.6,2,0.31428599999999995,0.049321000000000004,1.0999982500043752
2026-01_02,heavy duty transport,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,heavy duty transport,0.065148,14.0,2.0,0.095238,1,0.095238,0.065148,95238.00000000001
2026-05_06,heavy duty transport,0.059923,12.0,2.0,0.133333,2,0.038095000000000004,-0.0052250000000000005,0.39999370005984947
2026-01_02,heavy duty trucks steel,0.011569,3.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,heavy duty trucks steel,0.0,0.0,0.0,0.0,1,-0.095238,-0.011569,-0.9999895000997491
2026-05_06,heavy duty trucks steel,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,high pressure hydrogen,0.032335,6.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,high pressure hydrogen,0.061402,9.0,2.0,0.095238,1,0.0,0.029066999999999996,0.0
2026-05_06,high pressure hydrogen,0.025879,6.0,3.0,0.2,2,0.10476200000000001,-0.035523,1.0999905500897742
2026-01_02,high pressure hydrogen cylinders,0.032335,6.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,high pressure hydrogen cylinders,0.0,0.0,0.0,0.0,1,-0.095238,-0.032335,-0.9999895000997491
2026-05_06,high pressure hydrogen cylinders,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,high pressure hydrogen storage,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,high pressure hydrogen storage,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,high pressure hydrogen storage,0.021298,5.0,2.0,0.133333,2,0.133333,0.021298,133333.0
2026-01_02,high pressure storage,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,high pressure storage,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,high pressure storage,0.099321,18.0,3.0,0.2,2,0.2,0.099321,200000.00000000003
2026-01_02,high pressure storage solutions,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,high pressure storage solutions,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,high pressure storage solutions,0.062371,9.0,2.0,0.133333,2,0.133333,0.062371,133333.0
2026-01_02,humming hydrogen,0.063828,14.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,humming hydrogen,0.0,0.0,0.0,0.0,1,-0.095238,-0.063828,-0.9999895000997491
2026-05_06,humming hydrogen,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,hydrogen aircraft,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,hydrogen aircraft,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,hydrogen aircraft,0.103679,17.0,2.0,0.133333,2,0.133333,0.103679,133333.0
2026-01_02,hydrogen allocation,0.171153,31.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,hydrogen allocation,0.0,0.0,0.0,0.0,1,-0.095238,-0.171153,-0.9999895000997491
2026-05_06,hydrogen allocation,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
