第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
中国船舶重工集团公司七五0试验场,企业,云南,昆明,2023,1,3,3.0,量子传感,量子传感,0
中铁建云南投资有限公司,企业,云南,昆明,2024,1,5,5.0,量子传感,量子传感,0
云南电网有限责任公司,企业,云南,昆明,2025,1,10,10.0,量子通信与安全,量子通信与安全,0
云南省烟草农业科学研究院,科研院所,云南,昆明,2022,1,5,5.0,量子计算硬件,量子计算硬件,0
昆明冶金高等专科学校,高校,云南,昆明,2024,1,3,3.0,量子传感,量子传感,0
西南林业大学,高校,云南,昆明,2022,1,5,5.0,量子计算,量子计算,0
量子机械公司,企业,以色列,,2024,1,9,9.0,量子计算,量子计算,0
内蒙古农业大学,高校,内蒙古,呼和浩特,2025,1,3,3.0,量子传感,量子传感,0
内蒙古工业大学,高校,内蒙古,呼和浩特,2025,2,8,4.0,量子通信与安全；量子传感,量子通信与安全,0
内蒙古师范大学,高校,内蒙古,呼和浩特,2025,1,5,5.0,量子计算,量子计算,0
内蒙古科技大学,高校,内蒙古,包头,2025,1,5,5.0,量子计算,量子计算,0
国网内蒙古东部电力有限公司信息通信分公司,企业,内蒙古,呼和浩特,2021,1,5,5.0,量子通信与安全,量子通信与安全,0
国网内蒙古东部电力有限公司信息通信分公司,企业,内蒙古,呼和浩特,2022,1,14,14.0,量子通信与安全,量子通信与安全,0
国网内蒙古东部电力有限公司检修分公司,企业,内蒙古,通辽,2024,1,3,3.0,量子传感,量子传感,0
D 波系统公司,企业,加拿大,,2024,1,5,5.0,量子计算,量子计算,0
D-波系统公司,企业,加拿大,,2024,3,19,6.333333333333333,量子计算,量子计算,0
D-波系统公司,企业,加拿大,,2025,1,5,5.0,量子计算,量子计算,0
丁爱民,个人,北京,北京,2022,1,5,5.0,量子计算,量子计算,0
三未信安科技股份有限公司,企业,北京,北京,2025,1,10,10.0,量子通信与安全,量子通信与安全,0
世融能量科技有限公司,企业,北京,北京,2025,1,5,5.0,量子计算,量子计算,0
